name,image
"بانتين بديل الزيت مقاومة ضد تساقط الشعر, 180 مل",https://www.yodawy.com/wp-content/uploads/2021/02/4902430260640-254x350.jpg
"بانتين بديل للزيت للعناية بالشعر , 180 مل",https://www.yodawy.com/wp-content/uploads/2021/02/4902430137102-344x350.jpg
"بايوبلاس جل تصفيف الشعر المضاد للتساقط لمظهر ثابت, 150 مل",https://www.yodawy.com/wp-content/uploads/2020/12/202005100151-210x350.jpg
"بايوبلاس جل تصفيف الشعر المضاد للتساقط, 150 مل",https://www.yodawy.com/wp-content/uploads/2020/12/202005100143-350x350.jpg
"بايوبلاس كريم تصفيف الشعر المضاد للتساقط, 150 مل",https://www.yodawy.com/wp-content/uploads/2021/02/8697432094664-1-350x350.jpg
"بيرت بلس كريم للعناية بالشعر بزيت الزيتون,  150 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5011321420991.jpg
"جلوبال كيراتين شامبو لعلاج و ترطيب الشعر , 50 مل",https://www.yodawy.com/wp-content/uploads/2021/02/850704002165-119x350.jpg
"جي كيه كريم تصفيف الشعر للحماية من الحرارة, 100 مل",https://www.yodawy.com/wp-content/uploads/2021/02/815401013562-350x350.jpg
جيه كازانوفا  كريم الشعر بالفيتامين، 220 مل,https://www.yodawy.com/wp-content/uploads/2021/02/6281056586364.jpg
جيه كازانوفا كريم لتغذية الشعر، 300 مل,https://www.yodawy.com/wp-content/uploads/2021/02/6281056587040-350x350.jpg
"دابر املا سيروم للتحكم في الهيشان بخلاصة زيت الحية, 50 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851392-350x350.jpg
"دابر املا كريم لتصفيف الشعر الضعيف و المتساقط, 125 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6291069207453-350x350.jpg
"دابر فاتيكا كريم تصفيف الشعر بخلاصة اللوز و العسل و الصبار, 140 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851859-350x350.jpg
"دابر فاتيكا كريم تصفيف الشعر بخلاصة اللوز و العسل و الصبار, 210 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851866-350x350.jpg
"دابر فاتيكا كريم لتصفيف الشعر بالحنة و اللوز, 70 جم",https://www.yodawy.com/wp-content/uploads/2021/02/6291069654509-350x350.jpg
"دابر فاتيكا كريم لتصفيف الشعر ضد القشرة بالليمون و اللوز, 70 جم",https://www.yodawy.com/wp-content/uploads/2021/02/6291069655001-350x350.jpg
"دابور املا كريم لتصفيف و تغذية الشعر الجاف, 125 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851002-350x350.png
"دابور فاتيكا كريم للعناية بالشعر بزيت الزيتون والصبار , 70 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6291069655100-350x350.jpg
داكس بريسينج أويل بزيت جوزالهند وزيت الخروع، 99 جرام,https://www.yodawy.com/wp-content/uploads/2020/12/77315001022-350x350.jpg
داكس بيور لانولين بلسم، 397 مل,https://www.yodawy.com/wp-content/uploads/2020/12/77315006034-350x350.jpg
داكس سوبر نيت كريم  يضيف لمعان طبيعي للشعر،99 جم,https://www.yodawy.com/wp-content/uploads/2021/02/77315000049-350x338.jpg
داكس نيت هير، 99 جرام,https://www.yodawy.com/wp-content/uploads/2020/12/77315000155-350x350.jpg
داكس هاي أند تايت كريم، 99 جرام,https://www.yodawy.com/wp-content/uploads/2020/12/77315000421-350x350.jpg
داكس هاي أند تايت كريم، 99 جرام,https://www.yodawy.com/wp-content/uploads/2020/12/77315000438-350x350.jpg
داكس هير بلو لتصفيف الشعر، 99 جرام,https://www.yodawy.com/wp-content/uploads/2020/12/77315009059-350x350.jpg
داكس هير مغذي للشعر، 213 جرام,https://www.yodawy.com/wp-content/uploads/2020/12/77315009011-350x350.jpg
داكس ويف أند جروم لتصفيف الشعر، 99 جرام,https://www.yodawy.com/wp-content/uploads/2020/12/77315009042-350x350.jpg
"زيرو فريز بخاخ ملمع للشعر, 148 مل",https://www.yodawy.com/wp-content/uploads/2021/02/819933010679-205x350.jpg
زيرو فريز سيرم اصلاح الشعر بالزبدة الثلاثية، 148 مل,https://www.yodawy.com/wp-content/uploads/2021/02/819933010662-160x350.jpg
"زيرو فريز سيمبلى ستاننج, بلسم يترك على الشعر, 237 مل",https://www.yodawy.com/wp-content/uploads/2021/02/819933011423-1-350x350.jpg
زيرو فريز كيراتين سيرم اصلاح الشعر، 148 مل,https://www.yodawy.com/wp-content/uploads/2021/02/819933010273-350x350.jpg
"سترونج فيل اسبراي تونيك للعناية بالشعر,  220 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224008059936-350x350.jpg
"سترونج فيل شامبو و بلسم للتحكم فى تجاعيد الشعر , 220 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224008059813-350x350.jpg
"سترونج فيل كريم اترطيب الشعر , 120 جم",https://www.yodawy.com/wp-content/uploads/2021/02/6224001133480-320x350.jpg
صانسيلك زيت الشعر لاصلاح الشعر التالف ، 250 مل,https://www.yodawy.com/wp-content/uploads/2021/02/6221048211539-254x350.jpg
"فاتيكا بديل الزيت لاصلاح الشعر التالف, 200 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224007939697-213x350.jpg
"فاتيكا بديل الزيت لشعر ناعم و حريري, 200 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224007939680-212x350.jpg
"فاتيكا بديل الزيت لمقاومة تساقط الشعر, 200 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224007939703-215x350.jpg
"فاتيكا كريم بالزيتون و الصبار,  140 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6291069655117-350x350.jpg
"فاتيكا كريم بالزيتون و الصبار, 210 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851033-350x350.jpg
"فاتيكا كريم تصفيف الشعر المضاد للقشرة بخلاصة الليمون و اللوز و شجرة الشاي, 140 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6291069654516-350x350.jpg
"فاتيكا كريم تصفيف الشعر المضاد للقشرة بخلاصة الليمون و اللوز و شجرة الشاي, 210 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851026-350x350.jpg
"فاتيكا كريم تصفيف الشعر بخلاصة جوز الهند و الحنة و اللوز, 140 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851880-350x350.jpg
"فاتيكا كريم تصفيف الشعر بخلاصة جوز الهند و الحنة و اللوز, 210 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851897-350x350.jpg
"فاتيكا كريم حنة باللوز , 210 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851019-350x350.jpg
"فاتيكا كريم لتصفيف الشعر بخلاصة الحنة و اللوز, 140 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6291069655018.jpg
"فاتيكا كريم للشعر بالعسل, اللوز و الالوفيرا, 70 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851842-350x350.jpeg
"فاتيكا كريم للشعر حنة  بجوز الهند و اللوز,  70 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6224000851873-350x312.jpg
"فاشكول كريم التصفيف المغذي للشعر, 140 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5285003144684.jpg
"فاشكول كريم التصفيف المغذي للشعر, 210 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5285003144677-350x350.jpg
"فاشكول كريم تصفيف الشعر بخلاصة بروتينات القمح, 210 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5285003144653.jpg
"فاشكول كريم تصفيف لمعالجة تساقط الشعر, 140 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5285003144622.jpg
"فاشكول كريم تصفيف لمعالجة تساقط الشعر, 210 مل",https://www.yodawy.com/wp-content/uploads/2021/02/5285003144615.jpg
"فايتو 7 كريم النهار اليومي لترطيب الشعر الجاف, 50 مل",https://www.yodawy.com/wp-content/uploads/2021/02/618059162015-350x350.jpg
"فايتو 9 كريم النهار اليومي لتغذية الشعر شديد الجفاف, 50 مل",https://www.yodawy.com/wp-content/uploads/2021/02/618059162039-350x350.jpg
"فايتو ديفريسانت بلسم مرطب للشعر لمقاومة الهيشان, 100 مل",https://www.yodawy.com/wp-content/uploads/2021/02/618059165023.jpg
"فايتو زيت خفيف الوزن لترطيب الشعر الجاف و الرقيق, 100 مل",https://www.yodawy.com/wp-content/uploads/2021/02/3338221000378-350x350.jpg
"فايتو سبراي الحماية من الحرارة بالكيراتين, 150 مل",https://www.yodawy.com/wp-content/uploads/2021/02/618059104404-216x350.jpg
"فايتو كيراتين اكستريم كريم للشعر, 100 مل",https://www.yodawy.com/wp-content/uploads/2021/02/3338221000484-268x350.jpg
فرشاة شعر دى بى - 2212,https://www.yodawy.com/wp-content/uploads/2021/02/196005999994-209x350.jpg
"فيفيدول كريم منعش للشعر, 100 جم",https://www.yodawy.com/wp-content/uploads/2021/02/6224000437404-350x272.jpg
فيلا بورجيني تصفيف الشعر  بالكيريايتين، 125 مل,https://www.yodawy.com/wp-content/uploads/2021/02/8034097432064-350x350.jpg
فيلا بورجيني كريم لحماية الشعر المصبوغ،  200 مل,https://www.yodawy.com/wp-content/uploads/2021/02/8034097431944-350x200.jpg
فيلا بورجيني مونو دوز سيريم لاعادة حيوية الشعر،  12X15 مل,https://www.yodawy.com/wp-content/uploads/2021/02/285703-350x331.jpg
"موشينز كريم مرطب يومي للشعر و فروة الرأس, 170 جم",https://www.yodawy.com/wp-content/uploads/2021/02/87300600208.jpg
"مينك هير فود بزيت المينك لشعر قوي و لامع, 300 مل",https://www.yodawy.com/wp-content/uploads/2021/02/6223003445096.jpg
ناتشوريا، بلو اوت كيرياتين اكسبريس، 240 مل,https://www.yodawy.com/wp-content/uploads/2021/02/2704869-350x350.jpg
